"periodo";"variable";"value"
2008;"Emigración";"8.082"
2009;"Emigración";"9.975"
2010;"Emigración";"10.327"
2011;"Emigración";"11.032"
2012;"Emigración";"9.722"
2013;"Emigración";"16.606"
2014;"Emigración";"15.178"
2015;"Emigración";"16.498"
2016;"Emigración";"14.424"
2017;"Emigración";"17.41"
2018;"Emigración";"13.517"
2019;"Emigración";"12.192"
2020;"Emigración";"14.775"
2008;"Inmigración";"31.513"
2009;"Inmigración";"21.564"
2010;"Inmigración";"20.94"
2011;"Inmigración";"22.526"
2012;"Inmigración";"22.13"
2013;"Inmigración";"21.156"
2014;"Inmigración";"22.27"
2015;"Inmigración";"25.16"
2016;"Inmigración";"31.406"
2017;"Inmigración";"38.549"
2018;"Inmigración";"43.581"
2019;"Inmigración";"43.467"
2020;"Inmigración";"25.902"
2008;"Empresas";"143.471"
2009;"Empresas";"139.381"
2010;"Empresas";"135.954"
2011;"Empresas";"132.488"
2012;"Empresas";"131.315"
2013;"Empresas";"129.566"
2014;"Empresas";"128.518"
2015;"Empresas";"132.857"
2016;"Empresas";"135.909"
2017;"Empresas";"141.595"
2018;"Empresas";"146.126"
2019;"Empresas";"151.661"
2020;"Empresas";"152.756"
